setsockopt: Protocol not available
97.31 173.922 220 1
163.792 305.112 250 2
96.6154 173.202 226 1
163.55 304.142 256 1
95.9997 172.414 232 1
163.411 303.152 262 1
95.3841 171.626 232 0
163.272 302.161 262 0
94.8541 170.778 238 1
163.237 301.162 268 1
94.4158 169.88 244 1
163.306 300.164 274 1
93.9774 168.981 244 0
163.376 299.167 274 0
93.4475 168.133 238 2
163.55 298.182 280 1
92.8318 167.345 232 2
163.825 297.221 286 1
92.1372 166.625 226 2
163.999 296.236 280 2
91.4425 165.906 226 0
164.173 295.251 280 0
90.7478 165.187 226 0
164.346 294.266 280 0
90.0532 164.467 226 0
164.52 293.281 280 0
89.2871 163.825 220 2
164.694 292.297 280 0
88.4581 163.265 214 2
164.867 291.312 280 0
87.6921 162.623 220 1
165.041 290.327 280 0
86.9974 161.903 226 1
165.215 289.342 280 0
86.3817 161.115 232 1
165.388 288.357 280 0
85.8518 160.267 238 1
165.458 287.36 274 2
85.2362 159.479 232 2
165.423 286.36 268 2
84.5415 158.76 226 2
165.284 285.37 262 2
83.8468 158.04 226 0
165.042 284.4 256 2
83.2312 157.252 232 1
164.8 283.43 256 0
82.7013 156.404 238 1
164.558 282.459 256 0
82.2629 155.506 244 1
164.419 281.469 262 1
81.9209 154.566 250 1
164.28 280.479 262 0
81.679 153.596 256 1
164.141 279.489 262 0
81.3369 152.656 250 2
164.106 278.489 268 1
80.8986 151.757 244 2
164.071 277.49 268 0
80.3686 150.909 238 2
164.036 276.49 268 0
79.9303 150.01 244 1
164.001 275.491 268 0
79.4004 149.162 238 2
164.071 274.493 274 1
78.7847 148.374 232 2
164.244 273.509 280 1
78.09 147.655 226 2
164.418 272.524 280 0
77.324 147.012 220 2
164.488 271.526 274 2
76.495 146.453 214 2
164.453 270.527 268 2
75.6659 145.894 214 0
164.418 269.527 268 0
74.8999 145.251 220 1
164.383 268.528 268 0
74.2052 144.532 226 1
164.348 267.529 268 0
73.5895 143.744 232 1
